Position,Player,NFL Team,IFFL Owner,IFFL Team,Price,KMD
RB,Christian McCaffrey,SF,Bill,BILL,$62,K
RB,Breece Hall,NYJ,Bill,BILL,$52,D
WR,Ladd McConkey,LAC,Bill,BILL,$17,K
RB,Javonte Williams,DAL,Bill,BILL,$15,K
WR,Rashee Rice,KC,Bill,BILL,$31,K
QB,Baker Mayfield,TB,Bill,BILL,$24,D
RB,Jaylen Warren,PIT,Bill,BILL,$20,D
RB,Braelon Allen,NYJ,Bill,BILL,$14,D
RB,Kenneth Gainwell,TB,Bill,BILL,$7,M
TE,Isaiah Likely,NYG,Bill,BILL,$7,M
WR,Michael Wilson,ARI,Bill,BILL,$7,M
WR,Keenan Allen,IND,Bill,BILL,$9,M
QB,Quinn Ewers,,Bill,BILL,$7,M
RB,Kaleb Johnson,PIT,Bill,BILL,$7,M
RB,Brashard Smith,KC,Bill,BILL,$7,M
RB,Malik Davis,DAL,Bill,BILL,$7,M
TE,Taysom Hill,,Bill,BILL,$7,M
WR,Kendrick Bourne,,Bill,BILL,$7,M
RB,Jaydon Blue,DAL,Bill,BILL,$6,M
TE,Dallas Goedert,PHI,Bill,BILL,$6,D
WR,Jack Bech,LV,Bill,BILL,$6,M
WR,Caernell Tate,TEN,Bill,BILL,$2,K
TE,Colston Loveland,CHI,Cantone,ARR,$7,K
WR,Terry McLaurin,WAS,Cantone,ARR,$24,M
QB,C.J. Stroud,HOU,Cantone,ARR,$32,D
RB,Quinshon Judkins,CLE,Cantone,ARR,$7,K
WR,Christian Watson,GB,Cantone,ARR,$7,K
RB,Jadarian Price,SEA,Cantone,ARR,$2,K
QB,Michael Penix Jr.,ATL,Cantone,ARR,$16,D
QB,Daniel Jones,IND,Cantone,ARR,$9,M
RB,Woody Marks,HOU,Cantone,ARR,$6,M
RB,James Conner,,Cantone,ARR,$30,D
WR,Jauan Jennings,MIN,Cantone,ARR,$17,D
QB,J.J. McCarthy,MIN,Cantone,ARR,$16,D
RB,Nick Chubb,,Cantone,ARR,$9,M
QB,Davis Mills,,Cantone,ARR,$7,M
RB,Tank Bigsby,,Cantone,ARR,$7,M
RB,Chris Brooks,,Cantone,ARR,$7,M
TE,Juwan Johnson,NO,Cantone,ARR,$7,M
WR,Travis Hunter,JAX,Cantone,ARR,$7,M
WR,Chimere Dike,TEN,Cantone,ARR,$7,M
WR,Quentin Johnston,LAC,Cantone,ARR,$7,D
RB,Justice Hill,,Cantone,ARR,$6,M
QB,Spencer Rattler,,Cantone,ARR,$6,M
RB,Kareem Hunt,,Cantone,ARR,$6,M
WR,Omar Cooper Jr.,NYJ,Cantone,ARR,$2,K
QB,Ty Simpson,LAR,Cantone,ARR,$1,K
QB,Carson Beck,ARI,Cantone,ARR,$1,K
WR,De'Zhaun Stribling,SF,Cantone,ARR,$1,K
TE,Tucker Kraft,,Dugan,DPGE,$17,K
WR,Chris Olave,NO,Dugan,DPGE,$16,K
QB,Jordan Love,GB,Dugan,DPGE,$40,D
WR,Garrett Wilson,NYJ,Dugan,DPGE,$32,D
WR,Rome Odunze,CHI,Dugan,DPGE,$17,K
