Team,Position,Player ,2025 Price,2026 Price,2027 Price,Original Price,Purchase Year,Contract Year,Player Pool
A. Zurek,Draft Pick,2026 1.01,$2 ,$2 ,$7 ,2,,,Rookie Draft
A. Zurek,Draft Pick,2026 2.01,$1 ,$1 ,$6 ,$1,,,Rookie Draft
Abad,QB,C.J. Stroud,$17 ,$32 ,$52 ,$2 ,2023,3,Auction
Abad,QB,Caleb Williams,$7 ,$17 ,$32 ,$2 ,2024,2,Rookie Draft
Abad,RB,Chuba Hubbard,$9 ,$19 ,$34 ,$4 ,2024,2,Auction
Abad,RB,Chase Brown,$17 ,$32 ,$52 ,$2 ,2023,3,Auction
Abad,RB,Zack Moss,$16 ,$31 ,$51 ,$1 ,2023,3,Auction
Abad,RB,Ameer Abdullah,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Abad,RB,Cam Akers,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Abad,RB,Kenneth Gainwell,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Abad,RB,Patrick Taylor Jr,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Abad,WR,Amari Cooper,$18 ,$28 ,$43 ,$13 ,2024,2,Auction
Abad,WR,Christian Watson,$12 ,$22 ,$37 ,$7 ,2024,2,Auction
Abad,WR,Marvin Harrison Jr,$7 ,$17 ,$32 ,$2 ,2024,2,Rookie Draft
Abad,WR,DJ Moore,$39 ,$54 ,$74 ,$24 ,2023,3,Auction
Abad,WR,Jerry Jeudy,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Abad,WR,Wan'Dale Robinson,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Abad,WR,Gabe Davis,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Abad,TE,TJ Hockenson,$11 ,$21 ,$36 ,$6 ,2024,2,Auction
Abad,TE,Pat Freiermuth,$6 ,$16 ,$31 ,$1 ,2024,2,Auction
Abad,Draft Pick,2025 1.03,$2 ,$2 ,$7 ,2,,,Rookie Draft
Abad,Draft Pick,2025 1.06,$2 ,$2 ,$7 ,2,,,Rookie Draft
Abad,Draft Pick,2025 1.09,$2 ,$2 ,$7 ,2,,,Rookie Draft
Abad,Draft Pick,2025 1.11,$2 ,$2 ,$7 ,2,,,Rookie Draft
Abad,Draft Pick,2025 1.12,$2 ,$2 ,$7 ,2,,,Rookie Draft
Abad,Draft Pick,2026 1.02,$2 ,$2 ,$7 ,2,,,Rookie Draft
Abad,Draft Pick,2026 2.02,$1 ,$1 ,$6 ,$1,,,Rookie Draft
Bill,QB,Drake Maye,$6 ,$16 ,$31 ,$1 ,2024,2,Rookie Draft
Bill,QB,Baker Mayfield,$14 ,$24 ,$39 ,$9 ,2024,2,Auction
Bill,QB,Spencer Rattler,$7 ,$17 ,$32 ,$2 ,2024,2,Free Agent
Bill,RB,Travis Etienne,$52 ,$77 ,$107 ,$2 ,2021,5,Auction
Bill,RB,Jonathan Taylor,$87 ,$117 ,$152 ,$12 ,2020,6,Auction
Bill,RB,Joe Mixon,$55 ,$70 ,$90 ,$40 ,2023,3,Auction
Bill,RB,Rico Dowdle,$13 ,$23 ,$38 ,$8 ,2024,2,Auction
Bill,RB,Blake Corum,$6 ,$16 ,$31 ,$1 ,2024,2,Rookie Draft
Bill,RB,MarShawn Lloyd,$6 ,$16 ,$31 ,$1 ,2024,2,Rookie Draft
Bill,RB,Kimani Vidal,$6 ,$16 ,$31 ,$1 ,2024,2,Auction
Bill,WR,Rashee Rice ,$16 ,$31 ,$51 ,$1 ,2023,3,Auction
Bill,WR,Calvin Ridley,$31 ,$51 ,$76 ,$1 ,2022,4,Auction
Bill,WR,DK Metcalf,$27 ,$37 ,$52 ,$22 ,2024,2,Auction
Bill,WR,Diontae Johnson,$16 ,$26 ,$41 ,$11 ,2024,2,Auction
